Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action,Rate-to-Num,Act-to-Num,PE/R,PE/A
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,56.25,37.16,46.705,13.07%,Below 52 Week High ,BETTER,SELL,3,3,10,10
SEE,Sealed Air,Materials,42.62,21.31,50.62,41.22,45.92,3.40%,Above 52 Week Low,BEST,SELL,1,3,21,7
SHW,Sherwin-Williams,Materials,387.65,26.75,435.15,302.0101,368.58005,10.92%,Below 52 Week High ,BETTER,SELL,3,3,9,9
SIG,Signet Jewelers,Consumer Discretionary,49.38,6.65,77.94,46.09,62.015,7.14%,Above 52 Week Low,BEST,BUY,1,1,7,7
SJM,JM Smucker,Consumer Staples,118.37,15.35,143.68,99.565,121.6225,18.89%,Above 52 Week Low,BEST,HOLD,1,2,15,8
SLB,Schlumberger Ltd.,Energy,67.4,44.93,82.71,61.02,71.865,10.46%,Above 52 Week Low,BEST,SELL,1,3,45,15
SLG,SL Green Realty,Real Estate,90.61,14.07,115.34,91.2,103.27,-0.65%,Below 52 Week Low,CAUTION,BUY,4,1,4,14
SNA,Snap-On Inc.,Consumer Discretionary,156.72,15.81,185.47,140.83,163.15,11.28%,Above 52 Week Low,BEST,HOLD,1,2,16,8
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,86.46,16.04,88.87,64.87,76.87,2.71%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
SNPS,Synopsys Inc.,Information Technology,82.62,67.72,94.8,64.75,79.775,12.85%,Below 52 Week High ,BETTER,SELL,3,3,23,23
SO,Southern Co.,Utilities,43.4,15.78,53.51,42.63,48.07,1.81%,Above 52 Week Low,BEST,HOLD,1,2,16,8
SPG,Simon Property Group Inc,Real Estate,152.18,13.56,187.35,150.15,168.75,1.35%,Above 52 Week Low,BEST,BUY,1,1,14,14
